Title,Sal_min,Sal_max,Currency,Employer,Location,Description,Resource,Link
Видеомонтажер TikTok ( Удалённо ),40000.0,120000.0,руб.,Филиппов Александр Вячеславович,Москва,"Написание коротких сценариев ( 15-30 секунд) для TikTok аккаунтов брендов. Монтаж видео по вашим сценариям из предоставленных исходников. Опыт работы на платформе TikTok обязателен. Умение работать с приложением VideoLeap. Быть креативным, находчивым и инициативным. Опыт работы в команде...",hh.ru,https://hh.ru/vacancy/50718937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Оператор-монтажер/оператор для онлайн школы (метро Домодедовская),50000.0,50000.0,руб.,АНО СОШ «Академическая Гимназия»,"Москва, Домодедовская",Съемка и монтаж уроков для онлайн школы. Сортировка отснятого материала. Настройка аудио и видео техники.Умение работать со съёмочным оборудованием. Умение выставлять и настраивать свет в студии. Знание на приличном уровне программы Adobe Premiere.,hh.ru,https://hh.ru/vacancy/50982003?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
SMM-менеджер,,,,ООО Фиджи Спорт Клуб,Москва,"...для постов (при необходимости). - Коммуникация и работа со съемочной группой: фотографом, видеоографом и видео-монтажером. - Постановка задач на видео-монтаж.Креативность. - Коммуникабельность. - Ответственный подход. - Понимание, что такое хороший визуал и как его достичь. - Наличие iPhone 11 (или новее) и мастерское...",hh.ru,https://hh.ru/vacancy/51441287?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомонтажер,,,,Международная медиагруппа Россия сегодня (МИА Россия сегодня),"Москва, Парк культуры и еще 1 ","Монтаж видеороликов в Premier Pro согласно сценарному плану с использованием графического оформления. Создание видеоинфографики и Моушен-дизайна в Adobe After...Высшее или средне специальное образование по профилю. Опыт работы видеомонтажером от 3-х лет. Владение Premier Pro, Cinema 4D...",hh.ru,https://hh.ru/vacancy/50750841?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Продюсер YouTube канала агентства,100000.0,,руб.,ООО Практика,Москва,"...видео (совместно с командой). Планирование и бюджетирование работы продакшена на перспективные сроки. Визуальное оформление канала, координация продакшена с дизайнерами, монтажерами...Опыт работы в области видеопродакшена не менее 3 лет. Креативность и способность находить и видеть хиты. Понимание целевой аудитории, видение...",hh.ru,https://hh.ru/vacancy/50796761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Файндер идей / Проект Savvy,,,,TheSoul Publishing (AdMe),Москва,"...через отдел лицензии. Составлять ТЗ монтажерам по сборке кусочков видео в целое видео. Писать несложные тексты для видео (оплачивается дополнительно).Понимает специфику нашего проекта и его контента. Уверенно пользуется соцсетями (Facebook, YouTube, TikTok и Instagram). Умеет быстро искать информацию в...",hh.ru,https://hh.ru/vacancy/50755181?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
"Видеомонтажер – моушн дизайнер (Video-Editing, Motion Design) YouTube-проекта",700.0,1000.0,USD,Interesting Facts (Холмогорцев Валентин Дмитриевич),Москва,"Поиск материала, работа с источниками. Монтаж и склейка роликов. Создание анимации для некоторых сцен. Разработка основного стиля видеоролика с качественными...Слышали об авторском праве и знаете, как проверять видео. Имеете опыт работы видеомонтажером, дизайнером, моушн-дизайнером. В сопроводительном письме предоставьте...",hh.ru,https://hh.ru/vacancy/51414698?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Монтажер,100000.0,,руб.,ООО Восхождение,Москва,"Монтаж рекламных промо-видео. Монтаж видеообзоров товаров.Уверенное знание Premiere Pro. Хорошее знание Adobe Audition (обработка голоса, удаление посторонних шумов в звуке). Хорошее знание After effects (работа...",hh.ru,https://hh.ru/vacancy/50480975?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Режиссёр монтажа YouTube-канала,40000.0,,руб.,КФХ Кхарл Груп,Москва,"Собрать из исходного материала готовые видео для YouTube выпусков. Написание сценариев, оформление видео. Чувствовать ритм и такт видео, делать из...Навыки работы в программах для монтажа (Final Cut, PremierePro, Davinci Resolve или Adobe Premiere/After Effect, Topaz Video Enhance AI...",hh.ru,https://hh.ru/vacancy/50927935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
Видеомонтажер (TikTok),,,,ТТ Media,Москва,"Отбор материала для монтажа. Монтаж видеороликов для платформы TikTok. Синхронизировать видео/аудио файлы и работать со звуком и цветокоррекцией. Опыт работы на аналогичной должности от года. Навыки владения программами для монтажа. Знание основ видеокоррекции. Креативность, коммуникабельность, творческий подход к...",hh.ru,https://hh.ru/vacancy/50953050?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80
